Model,Accuracy,AUC,Size_KB,MACs_K,RAM_KB,Latency_ms,Accuracy_%,AUC_%,Acc_per_KB,Acc_per_MAC,Efficiency
More Filters,0.9517200000000001,0.9883200000000001,32.62,1707.5040000000001,106.65125,0.20400000000000001,95.17,98.83,2.92,0.56,17.1
Hybrid,0.94432,0.9847999999999999,18.61,584.624,59.938125,0.2,94.43,98.48,5.07,1.62,86.8
Baseline,0.9456,0.9846199999999999,18.28,584.624,59.608124999999994,0.22199999999999998,94.56,98.46,5.17,1.62,88.5
Bigger Dense,0.94632,0.98454,59.59000000000001,626.912,100.918125,0.20400000000000001,94.63,98.45,1.59,1.51,25.3
BatchNorm,0.9455600000000001,0.9836199999999999,18.61,584.624,59.938125,0.198,94.56,98.36,5.08,1.62,86.9
Dropout,0.9384,0.98308,18.2,584.624,59.528125,0.21000000000000002,93.84,98.31,5.16,1.61,88.2
Depthwise,0.93456,0.9793799999999999,19.65,175.3868,60.978125,0.22599999999999998,93.46,97.94,4.76,5.33,271.2
